size_sqft,price
519.3,91624.62
572.0,106064.35
589.0,87749.07
620.4,115302.68
658.3,55332.05
662.6,95250.35
703.3,129501.45
722.5,105819.32
727.7,94110.54
759.2,94925.42
760.9,95842.85
809.7,58617.08
841.9,165989.88
877.6,118696.5
905.5,73846.54
918.6,120590.8
927.1,95315.34
988.2,107243.08
993.2,51437.24
1046.0,113012.42
1046.1,95713.11
1096.8,110079.06
1136.4,109731.7
1141.9,136155.14
1147.0,173063.2
1185.9,123504.77
1195.5,70161.55
1198.9,99661.48
1243.2,127557.37
1405.7,144017.46
1449.7,112824.24
1483.3,130987.34
1519.3,82059.65
1522.5,126278.72
1564.8,107180.8
1566.1,130114.32
1588.4,100181.46
1591.0,171633.27
1638.1,155519.62
1638.7,178430.84
1658.1,97168.05
1748.6,100505.9
1754.6,146523.68
1782.3,132075.71
1810.9,143155.93
1860.4,119520.93
1996.4,160054.24
2011.8,138827.13
2040.5,161073.11
2096.2,112351.12
2152.8,170021.04
2228.3,136939.92
2233.1,126595.62
2299.8,140922.71
2320.2,123956.37
2329.6,164165.19
2336.6,157002.51
2399.4,209186.1
2413.5,188280.01
2464.5,150611.42
2573.5,173833.98
2592.6,133112.59
2595.3,120138.17
2603.9,155940.32
2626.4,237905.93
2641.5,190957.86
2681.5,198292.16
2731.5,161952.09
2818.8,163659.78
2894.8,188969.95
2974.0,206214.82
2978.3,183859.99
2996.4,256721.63
3051.5,212969.7
3053.6,237438.95
3062.0,205851.76
3162.7,200775.74
3198.4,183233.82
3199.4,189571.57
3202.9,173034.31
3213.0,193659.31
3248.1,199786.43
3307.7,220923.49
3329.4,215674.12
3354.1,226615.29
3400.6,244434.58
3413.5,204784.66
3520.9,282016.33
3531.6,211032.72
3605.2,259163.51
3631.9,216490.52
3682.6,256689.06
3726.6,238384.88
3788.2,242401.86
3821.1,238821.59
3827.5,232404.78
3879.7,186422.47
3893.5,214961.22
3894.7,254596.76
3954.1,271159.9
